date_id,date_key,year,quarter,month_number,month_name,week_of_year,day_of_month,day_name,is_weekend,year_month
20170724,2017-07-24,2017,3,7,July,30,24,Monday,Weekday,2017-07
20170725,2017-07-25,2017,3,7,July,30,25,Tuesday,Weekday,2017-07
20170726,2017-07-26,2017,3,7,July,30,26,Wednesday,Weekday,2017-07
20170727,2017-07-27,2017,3,7,July,30,27,Thursday,Weekday,2017-07
20170728,2017-07-28,2017,3,7,July,30,28,Friday,Weekday,2017-07
20170729,2017-07-29,2017,3,7,July,30,29,Saturday,Weekend,2017-07
20170730,2017-07-30,2017,3,7,July,31,30,Sunday,Weekend,2017-07
20170731,2017-07-31,2017,3,7,July,31,31,Monday,Weekday,2017-07
20170801,2017-08-01,2017,3,8,August,31,1,Tuesday,Weekday,2017-08
20170802,2017-08-02,2017,3,8,August,31,2,Wednesday,Weekday,2017-08
20170803,2017-08-03,2017,3,8,August,31,3,Thursday,Weekday,2017-08
20170804,2017-08-04,2017,3,8,August,31,4,Friday,Weekday,2017-08
20170805,2017-08-05,2017,3,8,August,31,5,Saturday,Weekend,2017-08
20170806,2017-08-06,2017,3,8,August,32,6,Sunday,Weekend,2017-08
20170807,2017-08-07,2017,3,8,August,32,7,Monday,Weekday,2017-08
20170808,2017-08-08,2017,3,8,August,32,8,Tuesday,Weekday,2017-08
20170809,2017-08-09,2017,3,8,August,32,9,Wednesday,Weekday,2017-08
20170810,2017-08-10,2017,3,8,August,32,10,Thursday,Weekday,2017-08
20170811,2017-08-11,2017,3,8,August,32,11,Friday,Weekday,2017-08
20170812,2017-08-12,2017,3,8,August,32,12,Saturday,Weekend,2017-08
20170813,2017-08-13,2017,3,8,August,33,13,Sunday,Weekend,2017-08
20170814,2017-08-14,2017,3,8,August,33,14,Monday,Weekday,2017-08
20170815,2017-08-15,2017,3,8,August,33,15,Tuesday,Weekday,2017-08
20170816,2017-08-16,2017,3,8,August,33,16,Wednesday,Weekday,2017-08
20170817,2017-08-17,2017,3,8,August,33,17,Thursday,Weekday,2017-08
20170818,2017-08-18,2017,3,8,August,33,18,Friday,Weekday,2017-08
20170819,2017-08-19,2017,3,8,August,33,19,Saturday,Weekend,2017-08
20170820,2017-08-20,2017,3,8,August,34,20,Sunday,Weekend,2017-08
20170821,2017-08-21,2017,3,8,August,34,21,Monday,Weekday,2017-08
20170822,2017-08-22,2017,3,8,August,34,22,Tuesday,Weekday,2017-08
20170823,2017-08-23,2017,3,8,August,34,23,Wednesday,Weekday,2017-08
20170824,2017-08-24,2017,3,8,August,34,24,Thursday,Weekday,2017-08
20170825,2017-08-25,2017,3,8,August,34,25,Friday,Weekday,2017-08
20170826,2017-08-26,2017,3,8,August,34,26,Saturday,Weekend,2017-08
20170827,2017-08-27,2017,3,8,August,35,27,Sunday,Weekend,2017-08
20170828,2017-08-28,2017,3,8,August,35,28,Monday,Weekday,2017-08
20170829,2017-08-29,2017,3,8,August,35,29,Tuesday,Weekday,2017-08
20170830,2017-08-30,2017,3,8,August,35,30,Wednesday,Weekday,2017-08
20170831,2017-08-31,2017,3,8,August,35,31,Thursday,Weekday,2017-08
20170901,2017-09-01,2017,3,9,September,35,1,Friday,Weekday,2017-09
20170902,2017-09-02,2017,3,9,September,35,2,Saturday,Weekend,2017-09
20170903,2017-09-03,2017,3,9,September,36,3,Sunday,Weekend,2017-09
20170904,2017-09-04,2017,3,9,September,36,4,Monday,Weekday,2017-09
20170905,2017-09-05,2017,3,9,September,36,5,Tuesday,Weekday,2017-09
20170906,2017-09-06,2017,3,9,September,36,6,Wednesday,Weekday,2017-09
20170907,2017-09-07,2017,3,9,September,36,7,Thursday,Weekday,2017-09
20170908,2017-09-08,2017,3,9,September,36,8,Friday,Weekday,2017-09
20170909,2017-09-09,2017,3,9,September,36,9,Saturday,Weekend,2017-09
20170910,2017-09-10,2017,3,9,September,37,10,Sunday,Weekend,2017-09
20170911,2017-09-11,2017,3,9,September,37,11,Monday,Weekday,2017-09
20170912,2017-09-12,2017,3,9,September,37,12,Tuesday,Weekday,2017-09
20170913,2017-09-13,2017,3,9,September,37,13,Wednesday,Weekday,2017-09
20170914,2017-09-14,2017,3,9,September,37,14,Thursday,Weekday,2017-09
20170915,2017-09-15,2017,3,9,September,37,15,Friday,Weekday,2017-09
20170916,2017-09-16,2017,3,9,September,37,16,Saturday,Weekend,2017-09
20170917,2017-09-17,2017,3,9,September,38,17,Sunday,Weekend,2017-09
20170918,2017-09-18,2017,3,9,September,38,18,Monday,Weekday,2017-09
20170919,2017-09-19,2017,3,9,September,38,19,Tuesday,Weekday,2017-09
20170920,2017-09-20,2017,3,9,September,38,20,Wednesday,Weekday,2017-09
20170921,2017-09-21,2017,3,9,September,38,21,Thursday,Weekday,2017-09
20170922,2017-09-22,2017,3,9,September,38,22,Friday,Weekday,2017-09
20170923,2017-09-23,2017,3,9,September,38,23,Saturday,Weekend,2017-09
20170924,2017-09-24,2017,3,9,September,39,24,Sunday,Weekend,2017-09
20170925,2017-09-25,2017,3,9,September,39,25,Monday,Weekday,2017-09
20170926,2017-09-26,2017,3,9,September,39,26,Tuesday,Weekday,2017-09
20170927,2017-09-27,2017,3,9,September,39,27,Wednesday,Weekday,2017-09
20170928,2017-09-28,2017,3,9,September,39,28,Thursday,Weekday,2017-09
20170929,2017-09-29,2017,3,9,September,39,29,Friday,Weekday,2017-09
20170930,2017-09-30,2017,3,9,September,39,30,Saturday,Weekend,2017-09
20171001,2017-10-01,2017,4,10,October,40,1,Sunday,Weekend,2017-10
20171002,2017-10-02,2017,4,10,October,40,2,Monday,Weekday,2017-10
20171003,2017-10-03,2017,4,10,October,40,3,Tuesday,Weekday,2017-10
20171004,2017-10-04,2017,4,10,October,40,4,Wednesday,Weekday,2017-10
20171005,2017-10-05,2017,4,10,October,40,5,Thursday,Weekday,2017-10
20171006,2017-10-06,2017,4,10,October,40,6,Friday,Weekday,2017-10
20171007,2017-10-07,2017,4,10,October,40,7,Saturday,Weekend,2017-10
20171008,2017-10-08,2017,4,10,October,41,8,Sunday,Weekend,2017-10
20171009,2017-10-09,2017,4,10,October,41,9,Monday,Weekday,2017-10
20171010,2017-10-10,2017,4,10,October,41,10,Tuesday,Weekday,2017-10
20171011,2017-10-11,2017,4,10,October,41,11,Wednesday,Weekday,2017-10
20171012,2017-10-12,2017,4,10,October,41,12,Thursday,Weekday,2017-10
20171013,2017-10-13,2017,4,10,October,41,13,Friday,Weekday,2017-10
20171014,2017-10-14,2017,4,10,October,41,14,Saturday,Weekend,2017-10
20171015,2017-10-15,2017,4,10,October,42,15,Sunday,Weekend,2017-10
20171016,2017-10-16,2017,4,10,October,42,16,Monday,Weekday,2017-10
20171017,2017-10-17,2017,4,10,October,42,17,Tuesday,Weekday,2017-10
20171018,2017-10-18,2017,4,10,October,42,18,Wednesday,Weekday,2017-10
20171019,2017-10-19,2017,4,10,October,42,19,Thursday,Weekday,2017-10
20171020,2017-10-20,2017,4,10,October,42,20,Friday,Weekday,2017-10
20171021,2017-10-21,2017,4,10,October,42,21,Saturday,Weekend,2017-10
20171022,2017-10-22,2017,4,10,October,43,22,Sunday,Weekend,2017-10
20171023,2017-10-23,2017,4,10,October,43,23,Monday,Weekday,2017-10
20171024,2017-10-24,2017,4,10,October,43,24,Tuesday,Weekday,2017-10
20171025,2017-10-25,2017,4,10,October,43,25,Wednesday,Weekday,2017-10
20171026,2017-10-26,2017,4,10,October,43,26,Thursday,Weekday,2017-10
20171027,2017-10-27,2017,4,10,October,43,27,Friday,Weekday,2017-10
20171028,2017-10-28,2017,4,10,October,43,28,Saturday,Weekend,2017-10
20171029,2017-10-29,2017,4,10,October,44,29,Sunday,Weekend,2017-10
20171030,2017-10-30,2017,4,10,October,44,30,Monday,Weekday,2017-10
20171031,2017-10-31,2017,4,10,October,44,31,Tuesday,Weekday,2017-10
20171101,2017-11-01,2017,4,11,November,44,1,Wednesday,Weekday,2017-11
20171102,2017-11-02,2017,4,11,November,44,2,Thursday,Weekday,2017-11
20171103,2017-11-03,2017,4,11,November,44,3,Friday,Weekday,2017-11
20171104,2017-11-04,2017,4,11,November,44,4,Saturday,Weekend,2017-11
20171105,2017-11-05,2017,4,11,November,45,5,Sunday,Weekend,2017-11
20171106,2017-11-06,2017,4,11,November,45,6,Monday,Weekday,2017-11
20171107,2017-11-07,2017,4,11,November,45,7,Tuesday,Weekday,2017-11
20171108,2017-11-08,2017,4,11,November,45,8,Wednesday,Weekday,2017-11
20171109,2017-11-09,2017,4,11,November,45,9,Thursday,Weekday,2017-11
20171110,2017-11-10,2017,4,11,November,45,10,Friday,Weekday,2017-11
20171111,2017-11-11,2017,4,11,November,45,11,Saturday,Weekend,2017-11
20171112,2017-11-12,2017,4,11,November,46,12,Sunday,Weekend,2017-11
20171113,2017-11-13,2017,4,11,November,46,13,Monday,Weekday,2017-11
20171114,2017-11-14,2017,4,11,November,46,14,Tuesday,Weekday,2017-11
